	District	State	total_confirmed	total_tested	PositivityRate
411	Rewari	Haryana	142090.0	1059541.0	0.13410523991048953
412	Rohtak	Haryana	180805.0	181258.0	0.9975007999646912
413	Rohtas	Bihar	97505.0	3650871.0	0.02670732545740455
414	Rudraprayag	Uttarakhand	60806.0	366646.0	0.16584389301942473
415	Rupnagar	Punjab	90041.0	684215.0	0.13159752417003429
416	S.A.S. Nagar	Punjab	478841.0	290724.0	1.6470638818948555
417	S.P.S. Nellore	Andhra Pradesh	921226.0	4780748.0	0.19269495066462403
418	Sabarkantha	Gujarat	65174.0	1274630.0	0.051131700964201374
419	Sagar	Madhya Pradesh	115857.0	453607.0	0.25541272511226676
420	Saharanpur	Uttar Pradesh	229415.0	1864709.0	0.12302992048625282
421	Saharsa	Bihar	122759.0	2494289.0	0.04921602909686889
422	Sahibganj	Jharkhand	33494.0	35203.0	0.9514530011646735
423	Salem	Tamil Nadu	644898.0	557620.0	1.1565187762275384
424	Samastipur	Bihar	139350.0	4301983.0	0.03239203874120376
425	Sambalpur	Odisha	211491.0	14049.0	15.053811659192824
426	Sambhal	Uttar Pradesh	66030.0	2165331.0	0.030494183106416526
427	Sangrur	Punjab	109653.0	1164324.0	0.09417739392127965
428	Sant Kabir Nagar	Uttar Pradesh	57077.0	2048242.0	0.027866336106768634
429	Saraikela-Kharsawan	Jharkhand	50385.0	1132572.0	0.044487237897458176
430	Saran	Bihar	162682.0	5330311.0	0.030520170399063018
431	Satara	Maharashtra	1461054.0	2189194.0	0.6673935704190674
432	Satna	Madhya Pradesh	83748.0	197113.0	0.4248730423665613
433	Sawai Madhopur	Rajasthan	74185.0	592781.0	0.12514739844900563
434	Sehore	Madhya Pradesh	70950.0	315427.0	0.2249331858084438
435	Seoni	Madhya Pradesh	47398.0	105168.0	0.45068842233378975
436	Shahdol	Madhya Pradesh	70560.0	127239.0	0.5545469549430599
437	Shahid Bhagat Singh Nagar	Punjab	79969.0	544005.0	0.14700048712787567
